iter	Passed	Remaining
762	1235	383
763	1236	381
764	1237	380
765	1238	378
766	1240	376
767	1241	375
768	1242	373
769	1244	371
770	1245	370
771	1247	368
772	1248	366
773	1249	364
774	1250	363
775	1252	361
776	1253	359
777	1254	358
778	1256	356
779	1257	354
780	1258	352
781	1259	351
782	1261	349
783	1262	347
784	1263	346
785	1264	344
786	1265	342
787	1266	340
788	1267	339
789	1269	337
790	1271	335
791	1272	334
792	1273	332
793	1275	330
794	1276	329
795	1277	327
796	1278	325
797	1279	323
798	1281	322
799	1282	320
800	1284	319
801	1285	317
802	1286	315
803	1288	314
804	1289	312
805	1290	310
806	1291	308
807	1292	307
808	1293	305
809	1294	303
810	1295	301
811	1296	300
812	1298	298
813	1300	297
814	1301	295
815	1303	293
816	1304	292
817	1305	290
818	1306	288
819	1307	287
820	1308	285
821	1309	283
822	1310	281
823	1311	280
824	1313	278
825	1314	276
826	1316	275
827	1318	273
828	1319	272
829	1320	270
830	1322	268
831	1323	267
832	1324	265
833	1325	263
834	1327	262
835	1329	260
836	1331	259
837	1332	257
838	1333	255
839	1335	254
840	1336	252
841	1337	251
842	1339	249
843	1340	247
844	1341	246
845	1343	244
846	1345	243
847	1347	241
848	1348	239
849	1349	238
850	1350	236
851	1352	234
852	1353	233
853	1354	231
854	1355	229
855	1357	228
856	1359	226
857	1360	225
858	1361	223
859	1362	221
860	1364	220
861	1365	218
862	1366	216
863	1367	215
864	1368	213
865	1369	211
866	1370	210
867	1372	208
868	1373	207
869	1375	205
870	1376	203
871	1377	202
872	1379	200
873	1380	198
874	1381	197
875	1382	195
876	1384	194
877	1385	192
878	1387	190
879	1388	189
880	1388	187
881	1390	185
882	1391	184
883	1393	182
884	1394	181
885	1396	179
886	1397	178
887	1398	176
888	1400	174
889	1401	173
890	1402	171
891	1403	169
892	1404	168
893	1406	166
894	1407	165
895	1409	163
896	1410	161
897	1411	160
898	1412	158
899	1414	157
900	1415	155
901	1416	153
902	1418	152
903	1419	150
904	1420	149
905	1422	147
906	1423	145
907	1425	144
908	1426	142
909	1428	141
910	1429	139
911	1430	138
912	1432	136
913	1432	134
914	1434	133
915	1435	131
916	1437	130
917	1438	128
918	1440	126
919	1441	125
920	1442	123
921	1443	122
922	1444	120
923	1445	118
924	1446	117
925	1448	115
926	1449	114
927	1450	112
928	1452	110
929	1453	109
930	1454	107
931	1455	106
932	1456	104
933	1457	103
934	1458	101
935	1459	99
936	1460	98
937	1461	96
938	1462	95
939	1463	93
940	1465	91
941	1467	90
942	1468	88
943	1469	87
944	1471	85
945	1472	84
946	1473	82
947	1474	80
948	1475	79
949	1476	77
950	1477	76
951	1478	74
952	1480	72
953	1481	71
954	1483	69
955	1484	68
956	1485	66
957	1487	65
958	1488	63
959	1489	62
960	1490	60
961	1491	58
962	1492	57
963	1493	55
964	1495	54
965	1496	52
966	1498	51
967	1499	49
968	1500	48
969	1501	46
970	1503	44
971	1504	43
972	1504	41
973	1506	40
974	1507	38
975	1508	37
976	1509	35
977	1510	33
978	1512	32
979	1513	30
980	1515	29
981	1516	27
982	1517	26
983	1518	24
984	1520	23
985	1521	21
986	1522	20
987	1523	18
988	1524	16
989	1526	15
990	1527	13
991	1529	12
992	1530	10
993	1531	9
994	1532	7
995	1534	6
996	1535	4
997	1536	3
998	1537	1
999	1538	0
